STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131224,0,-9999,0,44,-21,47
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131225,0,-9999,0,-21,-93,44
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131226,13,-9999,8,22,-60,31
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131227,0,-9999,0,17,-21,52
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131228,0,-9999,0,89,-27,47
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131229,335,-9999,-9999,67,6,37
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131230,0,-9999,0,67,-71,60
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131231,0,-9999,0,-32,-99,42
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140101,0,-9999,0,-16,-71,42
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140102,97,-9999,269,-32,-166,78
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140103,48,-9999,114,-99,-166,76
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140104,0,-9999,0,-27,-166,55
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140105,10,-9999,0,33,-43,36
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140106,81,-9999,0,133,-16,62
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140107,0,-9999,0,-16,-127,88
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140108,0,-9999,0,-55,-138,57
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140109,0,-9999,0,-10,-71,38
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140110,5,-9999,5,28,-77,22
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140111,137,-9999,0,150,11,51
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140112,0,-9999,0,122,28,72
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140113,0,-9999,0,106,-5,51
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140114,201,-9999,0,100,67,35
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140115,0,-9999,0,89,17,29
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140116,0,-9999,0,39,6,14
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140117,0,-9999,0,78,6,35
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140118,201,-9999,51,33,0,31
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140119,8,-9999,5,17,-10,66
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140120,0,-9999,0,50,-32,67
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140121,28,-9999,99,-32,-116,52
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140122,0,-9999,8,-77,-138,74
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140123,0,-9999,0,-55,-143,57
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140124,0,-9999,0,-71,-138,61
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140125,0,-9999,3,33,-93,77
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140126,0,-9999,0,-32,-88,70
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140127,5,-9999,0,83,-60,62
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140128,0,-9999,0,-60,-105,57
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140129,3,-9999,0,-27,-93,44
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140130,0,-9999,0,-10,-88,44
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140131,0,-9999,0,61,-55,41
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140201,0,-9999,0,56,0,37
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140202,5,-9999,0,128,-5,30
